NVDA,NVDA,JPM,JPM,LLY,LLY,GE,GE,GBTC,GBTC
Open,Adj Close,Open,Adj Close,Open,Adj Close,Open,Adj Close,Open,Adj Close
461.4800109863281,438.9407958984375,144.75,145.96327209472656,587.1500244140625,573.5928344726562,89.58499908447266,91.8519287109375,19.200000762939453,19.260000228881836
427.4800109863281,416.04388427734375,148.16000366210938,142.9421844482422,578.0,548.5630493164062,92.40223693847656,88.47975158691406,19.770000457763672,18.899999618530273
415.9100036621094,434.93133544921875,145.35000610351562,142.2457733154297,550.0999755859375,535.2012939453125,88.36392974853516,87.92302703857422,18.770000457763672,19.190000534057617
440.29998779296875,457.5583190917969,144.8300018310547,142.32424926757812,536.010009765625,563.1903686523438,88.14844512939453,88.73468017578125,20.0,20.729999542236328
448.4200134277344,454.5486755371094,143.66000366210938,146.2399444580078,564.02001953125,607.0125122070312,88.59536743164062,87.07096099853516,20.299999237060547,20.239999771118164
450.6300048828125,413.814208984375,149.4499969482422,141.24998474121094,610.989990234375,582.5406494140625,87.7015151977539,84.44401550292969,22.5,23.639999389648438
412.2900085449219,404.94537353515625,142.94000244140625,134.07632446289062,586.0599975585938,558.2183227539062,84.98004913330078,84.65895080566406,24.280000686645508,25.06999969482422
410.8699951171875,449.98931884765625,136.44000244140625,141.2993927001953,571.2100219726562,565.7711181640625,85.81005859375,86.70478057861328,25.700000762939453,27.049999237060547
452.8500061035156,483.28485107421875,143.1699981689453,144.6885986328125,571.0999755859375,595.563720703125,87.22266387939453,91.75963592529297,27.329999923706055,29.972999572753906
483.20001220703125,492.9135437011719,145.6999969482422,151.00262451171875,594.3499755859375,589.5852661132812,91.8914566040039,95.46918487548828,29.889999389648438,28.989999771118164
493.1199951171875,477.69561767578125,152.0800018310547,151.71405029296875,591.4400024414062,600.0482177734375,95.71428680419922,95.50102996826172,29.200000762939453,31.209999084472656
478.0,467.5869445800781,153.42999267578125,154.9748077392578,601.1699829101562,583.01806640625,95.53072357177734,97.5150146484375,30.350000381469727,31.729999542236328
